ANATIDAE;;;;;;;
Branta bernicla;bernicla, hrota;Brant Goose;Barnacla carinegra;A;;A;R2  (solo ssp. hrota). 
Branta ruficollis;;Red-breasted Goose;Barnacla cuellirroja;A (i);;;R1
Branta leucopsis;;Barnacle Goose;Barnacla cariblanca;A (i);;D;
Anser caerulescens;atlanticus;Snow Goose;Ánsar nival;A (i);;;R2
Anser anser;anser;Greylag Goose;Ánsar común;A (i);A;A(i);
Anser fabalis;fabalis, rossicus;Bean Goose;Ánsar campestre;A;;;R1 (ssp. fabalis), R2 (ssp. rossicus y sin asignar) / IOC v9.1 incluye el taxón rossicus dentro de la sp. A. serrirostris: A. s. rossicus.
Anser brachyrhynchus;;Pink-footed Goose;Ánsar piquicorto;A;;A;
Anser albifrons;flavirostris, albifrons;Greater White-fronted Goose;Ánsar careto;A;;A;R1 (solo ssp. flavirostris).
Cygnus olor;;Mute Swan;Cisne vulgar;A (i);;;
Cygnus columbianus;bewickii;Tundra Swan;Cisne chico;A;;;R1
Cygnus cygnus;;Whooper Swan;Cisne cantor;A;;;R2
Tadorna tadorna;;Common Shelduck;Tarro blanco;A;A;A;
Tadorna ferruginea;;Ruddy Shelduck;Tarro canelo;A (i);A;A;
Spatula querquedula;;Garganey;Cerceta carretona;A;;A;
Spatula discors;;Blue-winged Teal;Cerceta aliazul;A (i);;A;R2
Spatula clypeata;;Northern Shoveler;Cuchara común;A;;A;
Mareca strepera;strepera;Gadwall;Ánade friso;A;A;A;
Mareca penelope;;Eurasian Wigeon;Silbón europeo;A;;A;
Mareca americana;;American Wigeon;Silbón americano;A;;A;R2
Anas platyrhynchos;platyrhynchos;Mallard;Ánade azulón;A;A;A (i);
Anas rubripes;;American Black Duck;Ánade sombrío;A;;A;R2
Anas acuta;;Northern Pintail;Ánade rabudo norteño;A;;A;
Anas crecca;;Eurasian Teal;Cerceta común;A;;A;
Anas carolinensis;;Green-winged Teal;Cerceta americana;A;;A;R2 / Tratada como ssp. de A. crecca (A. c. carolinensis) por HBW/BirdLife v3.
Marmaronetta angustirostris;;Marbled Duck;Cerceta pardilla;A (i);;A;
Netta rufina;;Red-crested Pochard;Pato colorado;A;;;
Aythya ferina;;Common Pochard;Porrón europeo;A;;A;
Aythya nyroca;;Ferruginous Duck;Porrón pardo;A;;A;
Aythya collaris;;Ring-necked Duck;Porrón acollarado;A;;A;
Aythya fuligula;;Tufted Duck;Porrón moñudo;A;;A;
Aythya marila;marila;Greater Scaup;Porrón bastardo;A;;A;
Aythya affinis;;Lesser Scaup;Porrón bola;A;;A;R2
Somateria spectabilis;;King Eider;Éider real;A;;;R1
Somateria mollissima;mollissima;Common Eider;Éider común;A;;;
Melanitta perspicillata;;Surf Scoter;Negrón careto;A;;;R2
Melanitta fusca;;Velvet Scoter;Negrón especulado;A;;;
Melanitta deglandi;stejnegeri;White-winged Scoter;Negrón aliblanco;A;;;R1 / El taxón stejnegeri se encuentra elevado a especie (M. stejnegeri) en HBW/BirdLife v3.
Melanitta nigra;;Common Scoter;Negrón común;A;A;A;
Melanitta americana;;Black Scoter;Negrón americano;A;;;R1
Clangula hyemalis;;Long-tailed Duck;Pato havelda;A;;A;
Bucephala albeola;;Bufflehead;Porrón albeola;A (i);;;R1
Bucephala clangula;clangula;Common Goldeneye;Porrón osculado;A ;;;R2
Bucephala islandica;;Barrow's Goldeneye;Porrón islándico;A;;;R1
Mergellus albellus;;Smew;Serreta chica;A (i);;;R2
Mergus merganser;merganser;Common Merganser;Serreta grande;A;;;R2
Mergus serrator;;Red-breasted Merganser;Serreta mediana;A;A;A;
Oxyura leucocephala;;White-headed Duck;Malvasía cabeciblanca;A;;;
PHASIANIDAE;;;;;;;
Tetrastes bonasia;styriaca;Hazel Grouse;Grévol común;B (i);;;/ Asignada al género Bonasa (B. bonasia) por HBW/BirdLife v3.
Tetrao urogallus;cantabricus, aquitanicus;Western Capercaillie;Urogallo común;A;;;
Lagopus muta;pyrenaica;Rock Ptarmigan;Lagópodo alpino;A;;;
Alectoris barbara;koenigi, barbara;Barbary Partridge;Perdiz moruna;;A (i);C;
Alectoris rufa;hispanica, intercedens;Red-legged Partridge;Perdiz roja;A (i);;C;
Perdix perdix;hispaniensis;Grey Partridge;Perdiz pardilla;A (i);;;
Coturnix coturnix;coturnix, confisa;Common Quail;Codorniz común;A;A;A;/ la ssp. confisa se encuentra pendiente de revisión para confirmar su validez.
GAVIIDAE;;;;;;;
Gavia stellata;;Red-throated Loon;Colimbo chico;A;;;
Gavia arctica;arctica;Black-throated Loon;Colimbo ártico;A;;A;
Gavia pacifica;;Pacific Loon;Colimbo del Pacífico;A;;;R1
Gavia immer;;Common Loon;Colimbo grande;A;A;A;
OCEANITIDAE;;;;;;;
Oceanites oceanicus;ASD;Wilson's Storm Petrel;Paíño de Wilson;A;A;A;
Pelagodroma marina;hypoleuca;White-faced Storm Petrel;Paíño pechialbo;A;;A;R1 (excepto Canarias).
Fregetta tropica;tropica;Black-bellied Storm Petrel;Paíño ventrinegro;;;A;R1 
DIOMEDEIDAE;;;;;;;
Thalassarche melanophris;;Black-browed Albatross;Albatros ojeroso;A;;;R1
HYDROBATIDAE;;;;;;;
Hydrobates pelagicus;pelagicus, melitensis;European Storm Petrel;Paíño europeo;A;A;A;
Oceanodroma castro;;Band-rumped Storm Petrel;Paíño de Madeira;A;;A;R2 (excepto Canarias) / Asignada al género Hydrobates (H. castro) por  HBW/BirdLife v3.
Oceanodroma monorhis;;Swinhoe's Storm Petrel;Paíño de Swinhoe;A;;A;R1 / Asignada al género Hydrobates (H. monorhis) por HBW/BirdLife v3.
Oceanodroma leucorhoa;leucorhoa;Leach's Storm Petrel;Paíño boreal;A;A;A;/Asignada al género Hydrobates (H. leucorhous) por HBW/BirdLife v3.
PROCELLARIIDAE;;;;;;;
Fulmarus glacialis;auduboni;Northern Fulmar;Fulmar boreal;A;;A;
Daption capense;ASD;Cape Petrel;Petrel damero;A;;;R1
Pterodroma madeira;;Zino's Petrel;Petrel freira;A;;;R1
Pterodroma feae / Pterodroma deserta;;Fea's Petrel/Desertas Petrel;Petrel gongón/Petrel de las Desertas;A;;A;R1
Pterodroma hasitata;;Black-capped Petrel;Petrel antillano;A;;;R1
Calonectris diomedea;;Scopoli's Shearwater;Pardela cenicienta mediterránea;A;A;A;
Calonectris borealis;;Cory's Shearwater;Pardela cenicienta canaria;A;A;A;
Calonectris edwardsii;;Cape Verde Shearwater;Pardela cenicienta caboverdiana;;;A;R1
Ardenna grisea;;Sooty Shearwater;Pardela sombría;A;A;A;
Ardenna gravis;;Great Shearwater;Pardela capirotada;A;A;A;
Puffinus puffinus;;Manx Shearwater;Pardela pichoneta;A;A;A;
Puffinus yelkouan;;Yelkouan Shearwater;Pardela mediterránea;A;A;;
Puffinus mauretanicus;;Balearic Shearwater;Pardela balear;A;A;A;
Puffinus baroli;;Barolo Shearwater;Pardela chica;A;;A;R1 (excepto Canarias) / Tratada como ssp. de P. lherminieri (P. l. baroli) por HBW/BirdLife v3.
Puffinus boydi;;Boyd's Shearwater;Pardela chica de Cabo Verde;;;A;R1 / Tratada como ssp. de P. lherminieri (P. l. boydi) por HBW/BirdLife v3
Bulweria bulwerii;;Bulwer's Petrel;Petrel de Bulwer;A;;A;R1 (excepto Canarias).
PODICIPEDIDAE;;;;;;;
Tachybaptus ruficollis;ruficollis;Little Grebe;Zampullín común;A;A;A;
Podilymbus podiceps;¿podiceps?;Pied-billed Grebe;Zampullín picogrueso;A;;A;R1
Podiceps grisegena;grisegena;Red-necked Grebe;Somormujo cuellirrojo;A;;;R2
Podiceps cristatus;cristatus;Great Crested Grebe;Somormujo lavanco;A;A;A;
Podiceps auritus;auritus;Horned Grebe;Zampullín cuellirrojo;A;;;
Podiceps nigricollis;nigricollis;Black-necked Grebe;Zampullín cuellinegro;A;;A;
PHOENICOPTERIDAE;;;;;;;
Phoenicopterus roseus;;Greater Flamingo;Flamenco común;A;A;A;
Phoeniconaias minor;;Lesser Flamingo;Flamenco enano;A (i);;A (i);
PHAETHONTIDAE;;;;;;;
Phaethon aethereus;mesonauta;Red-billed Tropicbird;Rabijunco etéreo;A;;A;R1 (excepto Canarias).
CICONIIDAE;;;;;;;
Ciconia nigra;;Black Stork;Cigüeña negra;A;A;A;
Ciconia ciconia;ciconia;White Stork;Cigüeña blanca;A;A;A;
THRESKIORNITHIDAE;;;;;;;
Geronticus eremita;;Northern Bald Ibis;Ibis eremita;A (i);C*;;R1 (excepto población introducida).
Plegadis falcinellus;;Glossy Ibis;Morito común;A;A;A;
Platalea leucorodia;leucorodia;Eurasian Spoonbill;Espátula común;A;A;A;
ARDEIDAE;;;;;;;
Botaurus stellaris;stellaris;Eurasian Bittern;Avetoro común;A;A;A;
Botaurus lentiginosus;;American Bittern;Avetoro lentiginoso;A;;A;R1
Ixobrychus minutus;minutus;Little Bittern;Avetorillo común;A;A;A;
Ixobrychus sturmii;;Dwarf Bittern;Avetorillo plomizo;;;A;R1
Nycticorax nycticorax;nycticorax;Black-crowned Night Heron;Martinete común;A;A;A;
Butorides virescens;ASD;Green Heron;Garcilla verde;;;A;R1 / Incluida en B. striata por HBW/BirdLife v3.
Ardeola ralloides;;Squacco Heron;Garcilla cangrejera;A;A;A;
Bubulcus ibis;ibis;Cattle Egret;Garcilla bueyera;A;A;A;/ Considerada como politípica siguiendo a Martínez-Vilalta et al. (2018).
Ardea cinerea;cinerea;Grey Heron;Garza real;A;A;A;
Ardea herodias;ASD;Great Blue Heron;Garza azulada;;;A;R1
Ardea purpurea;purpurea;Purple Heron;Garza imperial;A;A;A;
Ardea alba;alba;Great Egret;Garceta grande;A;A;A;
Egretta tricolor;¿ruficollis?;Tricolored Heron;Garceta tricolor;;;A;R1
Egretta garzetta;garzetta;Little Egret;Garceta común;A;A;A;
Egretta gularis;gularis;Western Reef Heron;Garceta dimorfa;A;;A;R2
PELECANIDAE;;;;;;;
Pelecanus onocrotalus;;Great White Pelican;Pelícano común;A (i);;;R2
FREGATIDAE;;;;;;;
Fregata magnificens;;Magnificent Frigatebird;Rabihorcado magnífico;A;;;R1
SULIDAE;;;;;;;
Morus bassanus;;Northern Gannet;Alcatraz atlántico;A;A;A;
Sula dactylatra;¿dactylatra?;Masked Booby;Piquero enmascarado;A;;;R1
Sula sula;¿sula?;Red-footed Booby;Piquero patirrojo;A;;A;R1
Sula leucogaster;¿leucogaster?;Brown Booby;Piquero pardo;A;;A;R1
PHALACROCORACIDAE;;;;;;;
Microcarbo pygmaeus;;Pygmy Cormorant;Cormorán pigmeo;A;;;R1 
Phalacrocorax auritus;¿auritus?;Double-crested Cormorant;Cormorán orejudo;;;A;R1
Phalacrocorax aristotelis;aristotelis, desmarestii;European Shag;Cormorán moñudo;A;A;;
Phalacrocorax carbo;carbo, sinensis;Great Cormorant;Cormorán grande;A;A;A;
PANDIONIDAE;;;;;;;
Pandion haliaetus;haliaetus;Osprey;Águila pescadora;A (i);A;A;
ACCIPITRIDAE;;;;;;;
Elanus caeruleus;caeruleus;Black-winged Kite;Elanio común;A;A;;
Gypaetus barbatus;barbatus;Bearded Vulture;Quebrantahuesos;A (i);;;
Neophron percnopterus;majorensis, percnopterus;Egyptian Vulture;Alimoche común;A;A;A;
Pernis apivorus;;European Honey Buzzard;Abejero europeo;A;A;A;
Elanoides forficatus;¿forficatus?;Swallow-tailed Kite;Elanio tijereta;;;A;R1
Gyps africanus;;White-backed Vulture;Buitre dorsiblanco africano;A;;;R1
Gyps rueppelli;rueppelli;Rüppell's Vulture;Buitre moteado;A;A;;
Gyps fulvus;fulvus;Griffon Vulture;Buitre leonado;A;A;;
Aegypius monachus;;Cinereous Vulture;Buitre negro;A (i);A;;
Circaetus gallicus;gallicus;Short-toed Snake Eagle;Culebrera europea;A;A;A;
Terathopius ecaudatus;;Bateleur;Águila volatinera;A;;;R1
Clanga pomarina;;Lesser Spotted Eagle;Águila pomerana;A;;;R2
Clanga clanga;;Greater Spotted Eagle;Águila moteada;A;;;R2
