,,Family (Scientific),Genus,Species (Scientific),Subspecies,Nom català,Species (English)
NEOGNATHAE,,,,,,
I,GALLIFORMES,,,,,,
,1,Phasianidae,,,,,,Pheasants & Allies
,,,1,Tetrastes,bonasia,,Grevol,Hazel Grouse
,,,2,Tetrao,urogallus,,Gall fer,Western Capercaillie
,,,3,Lagopus,muta,,Perdiu blanca,Rock Ptarmigan
,,,4,Alectoris,rufa,,Perdiu roja,Red-legged Partridge
,,,5,Perdix,perdix,,Perdiu xerra,Grey Partridge
,,,6,Coturnix,coturnix,,Guatlla,Common Quail
,,,7,Phasianus,colchicus,,Faisà,Common Pheasant
,,,,,,,,
II,ANSERIFORMES,,,,,,
,2,Anatidae,,,,,,"Ducks, Geese, Swans"
,,,8,Branta,bernicla,bernicla,Oca de collar,Brant Goose
,,,9,Branta,canadensis,,Oca del Canadà,Canada Goose
,,,10,Branta,leucopsis,,Oca de galta blanca,Barnacle Goose
,,,11,Anser,indicus,,Oca índia,Bar-headed Goose
,,,12,Anser,anser,anser,Oca vulgar,Greylag Goose
,,,13,Anser,fabalis,fabalis,Oca pradenca,Taiga Bean Goose
,,,14,Anser,brachyrhynchus,,Oca de bec curt,Pink-footed Goose
,,,15,Anser,albifrons,,Oca riallera grossa,Greater White-fronted Goose
,,,16,Cygnus,atratus,,Cigne negre,Black Swan
,,,17,Cygnus,olor,,Cigne mut,Mute Swan
,,,18,Cygnus,columbianus,bewickii,Cigne petit,Tundra Swan
,,,19,Cygnus,cygnus,,Cigne cantaire,Whooper Swan
,,,20,Alopochen,aegyptiaca,,Oca egípcia,Egyptian Goose
,,,21,Tadorna,tadorna,,Ànec blanc,Common Shelduck
,,,22,Tadorna,ferruginea,,Ànec canyella,Ruddy Shelduck
,,,23,Aix,galericulata,,Ànec mandarí,Mandarin Duck
,,,24,Spatula,querquedula,,Xarrasclet,Garganey
,,,25,Spatula,discors,,Xarxet alablau,Blue-winged Teal
,,,26,Spatula,clypeata,,Ànec cullerot,Northern Shoveler
,,,27,Mareca,strepera,,Ànec griset,Gadwall
,,,28,Mareca,falcata,,Xarxet falcat,Falcated Duck
,,,29,Mareca,penelope,,Ànec xiulador,Eurasian Wigeon
,,,30,Anas,platyrhynchos,,Ànec collverd,Mallard
,,,31,Anas,rubripes,,Ànec negrós,American Black Duck
